,y
2000-01-01 00:00:00,10.14901424590337
2000-01-01 01:00:00,10.532745591268174
2000-01-01 02:00:00,11.307815915372219
2000-01-01 03:00:00,12.041667309661818
2000-01-01 04:00:00,11.889368194416136
2000-01-01 05:00:00,12.146068146181504
2000-01-01 06:00:00,12.814893714815039
2000-01-01 07:00:00,12.559570768566518
2000-01-01 08:00:00,12.044654961903733
2000-01-01 09:00:00,12.085900168381636
2000-01-01 10:00:00,11.424797617006696
2000-01-01 11:00:00,10.99599863696053
2000-01-01 12:00:00,10.744198899836974
2000-01-01 13:00:00,9.632716862097729
2000-01-01 14:00:00,9.258716251953507
2000-01-01 15:00:00,9.244195668724174
2000-01-01 16:00:00,8.841079943426228
2000-01-01 17:00:00,9.088199223378446
2000-01-01 18:00:00,8.70101124631581
2000-01-01 19:00:00,8.664297893902093
2000-01-01 20:00:00,9.772624289313965
2000-01-01 21:00:00,9.626830764057802
2000-01-01 22:00:00,10.17143084250917
2000-01-01 23:00:00,10.247047101167196
2000-01-02 00:00:00,11.068220160171286
2000-01-02 01:00:00,11.820311536768003
2000-01-02 02:00:00,11.960347341924008
2000-01-02 03:00:00,12.867157324425762
2000-01-02 04:00:00,12.924978342979701
2000-01-02 05:00:00,13.248601507600519
2000-01-02 06:00:00,13.253099701810585
2000-01-02 07:00:00,13.948678839359648
2000-01-02 08:00:00,13.214821931105682
2000-01-02 09:00:00,12.607510562816751
2000-01-02 10:00:00,12.779248864522536
2000-01-02 11:00:00,11.703805130851581
2000-01-02 12:00:00,11.633050946774162
2000-01-02 13:00:00,10.480841689291477
2000-01-02 14:00:00,10.201914290724575
2000-01-02 15:00:00,10.257190584196277
2000-01-02 16:00:00,10.111785968608253
2000-01-02 17:00:00,9.749773935828827
2000-01-02 18:00:00,9.601401069950093
2000-01-02 19:00:00,9.617753224200166
2000-01-02 20:00:00,9.4661297818683
2000-01-02 21:00:00,10.011336078429593
2000-01-02 22:00:00,10.501048197661634
2000-01-02 23:00:00,11.434456170619992
2000-01-03 00:00:00,11.731754232669886
2000-01-03 01:00:00,11.609114783029822
2000-01-03 02:00:00,12.707361094794287
2000-01-03 03:00:00,12.896620298638593
2000-01-03 04:00:00,13.112773496767522
